job_id,rep,n_steps,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,modularity,proportion_pure_edges,mean_majority_proportion
8,0,1000,0.5000,0.5000,1.5000,0.5000,0.2000,0.1000,0.1161,0.2944,0.7854
8,0,1000,0.9250,0.0750,2.0000,0.5000,0.2000,0.1000,0.2340,0.5309,0.9207
8,0,1000,0.5250,0.4750,1.0000,0.5000,0.2000,0.1000,0.0834,0.3393,0.7845
8,0,1000,0.7750,0.2250,2.0000,0.2000,0.2000,0.1000,0.1282,0.6507,0.9370
8,0,1000,0.5250,0.4750,1.0000,0.2000,0.2000,0.1000,0.1970,0.5729,0.8677
8,0,1000,0.8250,0.1750,1.5000,0.2000,0.2000,0.1000,0.3735,0.6537,0.9308
8,0,1000,0.6500,0.3500,1.5000,0.5000,0.2000,0.1000,0.1930,0.4092,0.8364
8,0,1000,0.5750,0.4250,1.0000,0.5000,0.2000,0.1000,0.0979,0.3134,0.7776
8,0,1000,0.6500,0.3500,2.0000,0.2000,0.2000,0.1000,0.3333,0.5749,0.9034
8,0,1000,0.6250,0.3750,1.0000,0.2000,0.2000,0.1000,0.2725,0.6547,0.9030
8,0,1000,0.7500,0.2500,1.0000,0.2000,0.2000,0.1000,0.3113,0.6457,0.9082
8,0,1000,0.6500,0.3500,1.0000,0.2000,0.2000,0.1000,0.1522,0.6078,0.8954
8,0,1000,0.8250,0.1750,1.0000,0.5000,0.2000,0.1000,0.1580,0.4790,0.8731
8,0,1000,1.0000,0.0000,1.0000,0.2000,0.2000,0.1000,0.4132,0.7365,0.9547
8,0,1000,0.6250,0.3750,0.5000,0.5000,0.2000,0.1000,0.0697,0.3892,0.7840
8,0,1000,0.9500,0.0500,1.0000,0.5000,0.2000,0.1000,0.1871,0.5459,0.8943
8,0,1000,0.9000,0.1000,1.5000,0.2000,0.2000,0.1000,0.2836,0.7176,0.9521
8,0,1000,0.8250,0.1750,1.0000,0.2000,0.2000,0.1000,0.1906,0.6786,0.9232
8,0,1000,0.7500,0.2500,1.0000,0.5000,0.2000,0.1000,0.2047,0.4291,0.8372
8,0,1000,0.7750,0.2250,1.5000,0.2000,0.2000,0.1000,0.2169,0.6457,0.9273
8,0,1000,0.9750,0.0250,1.0000,0.2000,0.2000,0.1000,0.1964,0.7345,0.9525
8,0,1000,0.5250,0.4750,2.0000,0.5000,0.2000,0.1000,0.1374,0.3044,0.8100
8,0,1000,0.8000,0.2000,0.5000,0.2000,0.2000,0.1000,0.2183,0.6846,0.9027
8,0,1000,0.9000,0.1000,2.0000,0.2000,0.2000,0.1000,0.4177,0.6866,0.9489
8,0,1000,0.6750,0.3250,0.5000,0.2000,0.2000,0.1000,0.1992,0.6407,0.8851
8,0,1000,0.5000,0.5000,2.0000,0.5000,0.2000,0.1000,0.1328,0.3164,0.8012
8,0,1000,0.6000,0.4000,1.5000,0.2000,0.2000,0.1000,0.2896,0.6068,0.8989
8,0,1000,0.8000,0.2000,0.5000,0.5000,0.2000,0.1000,0.1302,0.5010,0.8403
8,0,1000,0.9500,0.0500,0.5000,0.2000,0.2000,0.1000,0.1550,0.7196,0.9291
8,0,1000,0.8000,0.2000,1.5000,0.2000,0.2000,0.1000,0.3225,0.6766,0.9271
8,0,1000,0.9750,0.0250,1.0000,0.5000,0.2000,0.1000,0.3149,0.5439,0.9040
8,0,1000,0.6000,0.4000,2.0000,0.5000,0.2000,0.1000,0.1347,0.3383,0.8219
8,0,1000,0.5500,0.4500,1.5000,0.2000,0.2000,0.1000,0.2449,0.5489,0.8788
